env_step,buffer_size,mean_reward,done_rate,critic_loss,actor_loss,alpha,q_mean,wm_state_loss,wm_reward_loss,wm_done_loss,steps_per_second
7360,7360,0.2230134755373001,0.0,3.212674617767334,-15.04591178894043,0.9385552406311035,10.156614303588867,0.0005889579188078642,1.648447036743164,0.006294140592217445,44.82252351102993
7680,7680,1.0385957956314087,0.03125,140.90650939941406,-15.831303596496582,0.93281489610672,10.969249725341797,0.0005709371762350202,71.91665649414062,0.022392375394701958,43.47263400822619
8000,8000,0.17157654464244843,0.0,48.92236328125,-16.629968643188477,0.9271201491355896,11.803008079528809,0.0006533911218866706,24.999208450317383,0.01276971772313118,43.15583993036118
8320,8320,0.19939066469669342,0.0,48.461090087890625,-17.348934173583984,0.921470046043396,12.552703857421875,0.0005958621622994542,24.795249938964844,0.010150449350476265,43.083241610135666
8640,8640,1.0493133068084717,0.03125,3.258449077606201,-17.942142486572266,0.9158630967140198,13.175564765930176,0.0007112816674634814,1.6218916177749634,0.006537415087223053,42.64306578464243
8960,8960,0.16667477786540985,0.0,4.004612445831299,-18.638927459716797,0.9102962017059326,13.889321327209473,0.0007160904351621866,1.931809663772583,0.012333586812019348,41.70300332155013
9280,9280,1.0764071941375732,0.03125,48.636592864990234,-19.42205238342285,0.9047691822052002,14.709943771362305,0.0007165889837779105,25.070920944213867,0.01215699128806591,41.165204814267064
9600,9600,0.42501968145370483,0.0,138.6729736328125,-20.329395294189453,0.8992809057235718,15.635997772216797,0.0006508970400318503,71.31011962890625,0.025745294988155365,39.97523819417109
9920,9920,0.2025359719991684,0.0,48.821956634521484,-21.005298614501953,0.8938310146331787,16.34760856628418,0.0006992602720856667,25.287809371948242,0.016751118004322052,38.649021691829894
10240,10240,1.0495408773422241,0.03125,94.35682678222656,-21.690868377685547,0.8884185552597046,17.050613403320312,0.0008090183255262673,48.118743896484375,0.024363666772842407,38.38982302649404
10560,10560,0.16722527146339417,0.0,185.000244140625,-22.433162689208984,0.8830417394638062,17.83062744140625,0.0008034148486331105,95.61643981933594,0.03691668063402176,38.230436683205824
10880,10880,0.1811414361000061,0.0,47.20460510253906,-23.344043731689453,0.8777006268501282,18.76053810119629,0.0005632509710267186,24.398988723754883,0.038464464247226715,38.31442121098208
11200,11200,0.3636910915374756,0.0,91.73291015625,-24.223758697509766,0.8723946809768677,19.67702865600586,0.0007411764818243682,47.70207595825195,0.023268263787031174,38.41146891092336
11520,11520,0.20734402537345886,0.0,139.30657958984375,-24.86838150024414,0.8671247363090515,20.3542537689209,0.0007032383582554758,72.1805648803711,0.022350694984197617,38.595230933865004
11840,11840,0.19282928109169006,0.0,47.68206024169922,-25.658843994140625,0.8618887662887573,21.164432525634766,0.0006946740904822946,24.65304946899414,0.010622924193739891,39.00736180266792
12160,12160,0.35224422812461853,0.0,92.47989654541016,-26.47303009033203,0.8566864728927612,22.00969696044922,0.0006998832104727626,48.43505859375,0.018682489171624184,39.26617354733415
12480,12480,0.4003877341747284,0.0,2.7611050605773926,-27.46099090576172,0.8515179753303528,23.008644104003906,0.0006716346251778305,1.7448174953460693,0.007524098269641399,39.524699710436266
