generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
120,20,9680,368.7112895154986,253.40303239405938,182.3164562820448,0.12066842347405075,0.3,0.7,0.0,23.139999999999997,0.0,0.0,48.2,48.8
121,20,9760,368.7112895154986,285.17179160419795,206.95382972472376,0.11922040239236215,0.6,0.4,0.0,23.18,0.0,0.0,48.5,48.5
122,20,9840,368.7112895154986,267.86603448275866,205.18110737756396,0.1177897575636538,0.6,0.3,0.1,23.16,0.0,0.0,48.7,48.7
123,20,9920,368.7112895154986,269.7635312151617,203.08841446146792,0.11637628047288995,0.4,0.3,0.3,23.080000000000002,0.0,0.0,48.8,48.5
124,20,10000,368.7112895154986,279.598275862069,214.63209638792077,0.11497976510721526,0.3,0.5,0.2,23.02,0.0,0.0,48.5,48.8
125,20,10080,368.7112895154986,272.003275862069,194.1266982271524,0.11360000792592868,0.4,0.2,0.4,23.06,0.0,0.0,48.8,48.7
126,20,10160,368.7112895154986,277.5405323940594,200.15164429562188,0.11223680783081753,0.3,0.5,0.2,23.06,0.0,0.0,48.4,48.9
127,20,10240,368.7112895154986,265.1637895154987,197.76543793495495,0.11088996613684772,0.3,0.4,0.3,23.08,0.0,0.0,48.5,48.5
128,20,10320,368.7112895154986,279.79627468317125,196.7122029829774,0.10955928654320554,0.2,0.5,0.3,23.119999999999997,0.0,0.0,48.5,48.6
129,20,10400,368.7112895154986,288.91403298350826,212.11720846804434,0.10824457510468707,0.5,0.5,0.0,23.06,0.0,0.0,48.7,48.5
130,20,10480,368.7112895154986,256.4569392867669,202.8649314872388,0.10694564020343082,0.3,0.5,0.2,23.1,0.0,0.0,48.8,48.8
131,20,10560,368.7112895154986,288.8872901049475,211.29518487266046,0.10566229252098965,0.4,0.5,0.1,23.08,0.0,0.0,48.7,48.9
132,20,10640,368.7112895154986,265.6120318046105,188.92477312096344,0.10439434501073777,0.4,0.6,0.0,23.06,0.0,0.0,48.9,48.7
133,20,10720,368.7112895154986,278.18714050026273,203.1883791468512,0.10314161287060891,0.2,0.6,0.2,23.04,0.0,0.0,48.6,49.0
134,20,10800,368.7112895154986,267.86053239405936,189.27366236261417,0.1019039135161616,0.3,0.5,0.2,23.059999999999995,0.0,0.0,48.7,48.8
135,20,10880,368.7112895154986,266.48553239405936,189.87808985209722,0.10068106655396766,0.6,0.4,0.0,23.0,0.0,0.0,48.7,48.8
136,20,10960,368.7112895154986,269.6010312151617,196.02761260151107,0.09947289375532005,0.1,0.8,0.1,23.1,0.0,0.0,48.8,48.9
137,20,11040,368.7112895154986,282.0247901049475,212.79884049587554,0.0982792190302562,0.6,0.3,0.1,23.080000000000002,0.0,0.0,48.7,48.5
138,20,11120,368.7112895154986,266.0122752726201,199.0715513352896,0.09709986840189312,0.2,0.5,0.3,23.119999999999997,0.0,0.0,48.9,48.7
139,20,11200,368.7112895154986,283.3840329835083,201.73360710170772,0.0959346699810704,0.3,0.4,0.3,23.06,0.0,0.0,49.0,48.7
140,20,11280,368.7112895154986,277.9162746831712,186.50565465297578,0.09478345394129756,0.3,0.6,0.1,23.099999999999998,0.0,0.0,48.6,48.8
141,20,11360,368.7112895154986,282.02479010494756,191.97416536815257,0.09364605249400199,0.6,0.2,0.2,23.040000000000003,0.0,0.0,48.9,48.6
142,20,11440,368.7112895154986,284.2787895154987,221.77855598713577,0.09252229986407397,0.5,0.2,0.3,23.04,0.0,0.0,48.9,48.9
143,20,11520,368.7112895154986,270.6749377875165,199.77607698312426,0.09141203226570507,0.4,0.2,0.4,23.080000000000002,0.0,0.0,48.7,48.6
144,20,11600,368.7112895154986,265.2309383769654,207.87460283306308,0.09031508787851661,0.5,0.4,0.1,23.119999999999997,0.0,0.0,48.5,48.5
145,20,11680,368.7112895154986,264.88065592203895,208.87675863545846,0.08923130682397441,0.5,0.4,0.1,23.080000000000002,0.0,0.0,48.4,48.5
146,20,11760,368.7112895154986,270.66227527262015,207.95551078342297,0.08816053114208672,0.7,0.1,0.2,23.16,0.0,0.0,48.8,48.3
147,20,11840,368.7112895154986,278.8697901049475,203.6643674551523,0.08710260476838168,0.6,0.3,0.1,23.08,0.0,0.0,48.8,48.6
148,20,11920,368.7112895154986,282.4675516479049,207.3625090821604,0.08605737351116109,0.3,0.5,0.2,23.06,0.0,0.0,48.8,48.7
149,20,12000,368.7112895154986,273.4405323940594,206.65175048840212,0.08502468502902716,0.5,0.2,0.3,23.06,0.0,0.0,48.8,48.6
